 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Synopsis
260353,199401,0601-1200,BUF,NY,272,,,3500,,IMC,15,,Daylight,3000,,TRACON BUF,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,IFR,Personal,,Landing; Cruise; Cruise; Landing; Other Divert,,Class E BUF,,,,,,,,,,,,,,,,,,,,,,,,Electrical Power,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 31; Flight Crew Total 440; Flight Crew Type 250,,,,,260353,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Clearance; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Aircraft,PRIMARY ELECTRICAL SUPPLY PROB. LOSS OF COM FREQ; LOST COM; UNABLE TO ESTABLISH RADIO CONTACT.
261253,199401,1801-2400,MBS,MI,,3,,8500,,VMC,30,,Daylight,,,TRACON BMS,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Cruise; Cruise; Landing; Landing; Other Emergency,,Class D MBS; Class E MBS,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 13; Flight Crew Total 4090; Flight Crew Type 2800,,,,,261253,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,FLT INSTRUCTOR WHO WAS A DESIGNATED PLT EXAMINER RAN OUT OF FUEL AND MADE AN EMER FORCED LNDG ON ARPT.
261326,199401,1201-1800,FTG,CO,,,0,,,VMC,10,,Daylight,,,,FBO,Cessna 152,,1,Part 91,,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Student,Flight Crew Last 90 Days 16; Flight Crew Total 47; Flight Crew Type 15,,,,,261326,,,Other Compensated GA,Instructor,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Flight Engineer; Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 2760; Flight Crew Type 480,,,,,261329,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,DURING SECOND STUDENT SOLO LNDG; THE NOSE GEAR SHEARED AND BENT BACK UNDER THE SMA TRAINING ACFT.
261567,199401,1201-1800,NTD,CA,,2,,1700,,VMC,30,,Daylight,,,Tower NTD,Personal,Cessna 150,,1,Part 91,,Personal,,Cruise; Cruise,Direct,Class D NTD,,,,,,,,,,,,,,,,,,,,,,,,Indicating and Warning - Landing Gear,,Y,Malfunctioning,,Military,Intruder (A6),,2,Other Other,VFR,Tactical,,Landing; Other Pattern,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 5; Flight Crew Total 1250; Flight Crew Type 400,,,,,261567,,,Military,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR,Horizontal 1000,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Procedure,Human Factors,POTENTIAL CONFLICT LESSENED BY PLT RESPONSE IN ATA TO MIL PLT'S EXECUTION OF GAR PROC.
261678,199401,1201-1800,BGQ,AK,,1,0,,,VMC,99,,Daylight,,,,FBO,Cessna 150,,1,Part 91,,Training,,Landing; Landing; Initial Approach; Other Emergency,,Class G BGQ,,,,,,,,,,,,,,,,,,,,,,,,Carburetor,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 34; Flight Crew Total 380; Flight Crew Type 190,,,,,261678,,,Other Nonprofessional GA,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,THE ENG QUIT WHEN A STUDENT PLT TRIED TO GAR AFTER BOTCHING A SIMULATED ENG EMER.
262022,199401,1801-2400,AIK,SC,,15,0,,,VMC,20,,Night,8000,,,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Passenger,,Cruise; Cruise; Landing; Landing; Other Emergency,,Class E CAE,,,,,,,,,,,,,,,,,,,,,,,,Fuel Distribution System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 57; Flight Crew Total 779; Flight Crew Type 5,,,,,262022,,,Other Nonprofessional GA,Observer; Passenger,Flight Crew Private,Flight Crew Last 90 Days 0; Flight Crew Total 1400; Flight Crew Type 600,,,,,261855,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken; General Declared Emergency,,Aircraft,A CESSNA 172 LANDED OFF ARPT AT NIGHT WITH AN OBSTRUCTION IN ITS FUEL LINE.
264031,199402,1801-2400,LHC,TN,,6,,3000,,VMC,10,,Dusk,12000,,Center ZME,Corporate,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Descent; Descent,,Class E ZME,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 8; Flight Crew Total 123; Flight Crew Type 123,,,,,264031,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,SMA FLT 40 MINS LONGER THAN PLANNED. LANDS WITH LOW FUEL STATE.
264637,199402,1201-1800,AMN; LAN,MI,,10,,4000,,Mixed,,,Daylight,,,TRACON LAN,Personal,Cessna 150,,1,Part 91,IFR,Personal,,Cruise; Cruise; Other Emergency,Vectors,Class E LAN,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 50; Flight Crew Total 510; Flight Crew Type 150,,,,,264637,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; General Declared Emergency,,Aircraft,ACFT EQUIP PROB CREATES NEED FOR FLT ASSIST.
265298,199403,0601-1200,HHI,HI,,,250,,,VMC,30,,Daylight,,,Tower HHI,Other Other,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Training,,Initial Climb,,Class D HHI,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 28; Flight Crew Total 630; Flight Crew Type 6,,,,,265298,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,INSTRUCTOR PLT OF A C-172 MADE FORCED LNDG ON ARPT DUE TO PWR LOSS DURING CLBOUT. THERE WAS NO DAMAGE TO THE ACFT.
