 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

260542,199401,1201-1800,PAO,CA,,,0,,,VMC,8,,Daylight,3000,,Tower PAO,FBO,Cessna 152,,2,Part 91,None,Training,,Landing; Landing; Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 50; Flight Crew Total 1000; Flight Crew Type 200,,,,,260542,,,Other Nonprofessional GA,Single Pilot; Pilot Flying; Other,Flight Crew Student,,,,,,,Conflict Ground Conflict; Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"AS MY STUDENT PRACTICED SHORT-FIELD LNDGS AT PALO ALTO; WHILE I WAS INSTRUCTING; THE FOLLOWING EVENT OCCURRED: STUDENT WAS HIGH ON APCH PATH BUT LOW ON AIRSPD SO I INSTRUCTED HIM TO REDUCE PWR AND LOWER THE NOSE. HE REDUCED PWR; BUT DID NOT LOWER NOSE ENOUGH TO GAIN ENOUGH AIRSPD. HOWEVER; WE WERE STILL NEAR RECOMMENDED SHORT FIELD APCH SPD. AS WE GOT CLOSER TO THE RWY HE GOT SLOWER SO I REACHED TO APPLY PWR; BUT AS I REACHED HE SUDDENLY YANKED BACK ON THE YOKE CAUSING THE ACFT TO; IN FACT; STALL IN. WE WERE PROBABLY AT 2-4 FT OFF THE GND AS THIS OCCURRED. I AM STILL NOT SURE IF WE MADE THE END OF THE RWY; OR IF THE MAINS CLIPPED THE GRASS JUST PRIOR TO THE RWY. THE WHOLE EVENT HAPPENED WITH SUCH RAPIDITY AND IN SUCH AN UNEXPECTED MANNER I WAS UNABLE TO CORRECT THE SIT SOON ENOUGH. I THINK THAT IN FUTURE I WILL TAKE THE FOLLOWING STEPS TO TRY TO PREVENT THIS SIT OCCURRING AGAIN: 1) DEMONSTRATE PROC MORE THAN ONCE PRIOR TO LETTING STUDENT TRY IT BY HIM/HERSELF. 2) KEEP MY HANDS RIGHT ON CTLS FOR FIRST COUPLE OF STUDENT ATTEMPTS. 3) TRY TO BE EVEN QUICKER WITH REACTIONS. UNFORTUNATELY; I BELIEVE THAT IN THIS PARTICULAR SIT; EVEN IF I WAS FULLY EXPECTING THE EVENT IT WOULD HAVE BEEN ALMOST IMPOSSIBLE TO CORRECT THE SIT; AS IT HAPPENED SO QUICKLY AND SO CLOSE TO THE GND. THERE WAS NO DAMAGE TO THE ACFT OR OCCUPANTS; AND I WAS UNABLE TO ASCERTAIN ANYTHING MORE BY INSPECTION OF THE APCH END OF THE RWY.",,,,"LNDG UNDERSHOT WHILE PRACTICING SHORT FIELD LNDGS. TRAINING IN PROGRESS.",
261098,199401,1201-1800,ELP,TX,,,0,,,VMC,35,,Daylight,,,Tower ELP,Personal,Cessna 152,,1,Part 91,None,Personal,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 5600; Flight Crew Type 20,,,,,261098,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Deviation - Track / Heading All Types; Inflight Event / Encounter Loss Of Aircraft Control; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,"AFTER CTRLINE ON SPD TOUCHDOWN; APPROX 1000 FT DOWN RWY 22; ACFT DECELERATED TO APPROX 30 KTS; BEGAN A SLIGHT L DRIFT. IMMEDIATELY APPLIED R RUDDER WITH SLIGHT R BRAKE TO ADJUST DRIFT WHEN ACFT GND LOOPED TO L. I BELIEVE REACTION TIME MAY HAVE BEEN A BIT SLOW. THAT IS THE ONLY THING I CAN THINK OF; DUE TO HOW FAST THE AIRPLANE LOOPED. NO INJURIES; MINOR DAMAGE.",,,,"LOSS OF ACFT CTL DURING LNDG PROC ROLLOUT. ACFT GND LOOPS.",
261326,199401,1201-1800,FTG,CO,,,0,,,VMC,10,,Daylight,,,,FBO,Cessna 152,,1,Part 91,None,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 16; Flight Crew Total 47; Flight Crew Type 15,,,,,261326,,,Other Compensated GA,Instructor,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Flight Engineer; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 60; Flight Crew Total 2760; Flight Crew Type 480,,,,,261329,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control; Other Unspecified; Other Runway Or Taxiway Excursion,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,"APCH TO RWY 26 AT FRONT RANGE ARPT WAS NORMAL. ON SPD; ON GLIDE PATH. INITIAL ROUNDOUT; FLARE; AND TOUCHDOWN WERE NORMAL -- NOT EXCESSIVE OR HARD. AS THE NOSEWHEEL WAS LOWERED TO THE RWY; THE ACFT BEGAN TO OSCILLATE VIOLENTLY L TO R. THE NOSE COWL CONTACTED THE RWY (NOSE GEAR COLLAPSED TO REAR) AND CAUSED IT TO DEPART THE RWY TO THE L AND STOP; NOSE FIRST. THIS WAS THE SECOND LNDG OF THE DAY; THE FIRST BEING NORMAL WITH NO PROBS ENCOUNTERED.",,,,"DURING SECOND STUDENT SOLO LNDG; THE NOSE GEAR SHEARED AND BENT BACK UNDER THE SMA TRAINING ACFT.",
264590,199402,1801-2400,ELA,TX,,,0,,,VMC,15,,Dusk,5000,,,FBO,Cessna 152,,2,Part 91,None,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Nosewheel Steering,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 100; Flight Crew Total 900; Flight Crew Type 150,,,,,264590,,,Other Nonprofessional GA,Trainee; Observer,Flight Crew Student,,,,,,,Inflight Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Physical Injury / Incapacitation,,Human Factors,"TRAINING LESSON IN C-152. THE PLAN WAS TO LEARN TO TRACK THE VOR TO ELA; THEN DO LNDGS TO A FULL STOP SO THE STUDENT GOT SOME TFC PATTERN PRACTICE; TAXI PRACTICE; AND TKOF PRACTICE. AFTER TRACKING TO THE VOR AT ELA FROM 5TA4; WE TURNED L ON AN UPWIND; FOR RWY 17 AT ELA; CROSSED THE RWY TO LOOK AT THE WINDSOCK; THEN ENTERED L DOWNWIND AT 45 DEGS FOR RWY 17; THEN STARTED LNDG SEQUENCE; BASE AND FINAL; PUTTING IN FULL FLAPS ON FINAL. THE WINDSOCK WAS LIMP. THE UNDERSTANDING WAS THAT THE STUDENT WAS TO 'FEEL' THE CTLS BUT LET ME DO THE LNDG. THE LNDG WAS SMOOTH; SLIGHTLY L OF CTR. ROLLOUT STARTED OUT NORMAL; THEN; AFTER A SHORT DISTANCE; THE PLANE VEERED TO THE L; RAN OFF THE RWY. I IMMEDIATELY PUT IN R RUDDER; EVENTUALLY TO THE FLOOR; BUT THE PLANE CONTINUED ACROSS THE GRASSY AREA. THE NOSEWHEEL WENT INTO A MUDDY DITCH; THE TAIL CAME UP; HESITATED AT THE TOP FOR A MOMENT; AND FELL ON ITS BACK. THE TIME WAS VERY SHORT FROM TOUCHDOWN TO THE DITCH. I COULD NOT DETERMINE WHY THE PLANE WOULD NOT RESPOND TO THE RUDDER AND DID EVERYTHING I COULD TO KEEP THE PLANE FROM VEERING OFF THE RWY INTO THE DITCH. LUCKILY; THE STUDENT ONLY HAD MINOR INJURIES AND I HAD NONE.",,,,"RWY EXCURSION AFTER LOSS OF ACFT CTL. ACFT DAMAGED.",
265027,199403,1201-1800,HPN,NY,,3,,1500,,VMC,,,Daylight,,,Tower HPN,FBO,Cessna 152,,1,Part 91,None,Training,,Initial Climb,,Class D HPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA-46 Malibu/Malibu Mirage/Malibu Matrix,,1,Part 91,,,,Cruise; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 90; Flight Crew Total 700; Flight Crew Type 200,,,,,265027,,,Other Nonprofessional GA,Single Pilot,Flight Crew Student,,,,,,,Conflict NMAC; Other Unspecified,Horizontal 600; Vertical 100,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"I WAS DEPARTING THE CLASS D AIRSPACE WITH MY STUDENT (TKOF FROM RWY 29 AT HPN) ON A L DOWNWIND DEP EBOUND. I MADE A REQUEST WITH TWR FOR A NE DEP ON COURSE TO OXC. ATC POINTED OUT A MALIBU/MIRAGE IN MY 11 O'CLOCK AND I RPTED THE ACFT IN SIGHT. ATC GRANTED MY REQUEST; PROVIDED THAT I MAINTAIN VISUAL SEPARATION. WHILE WATCHING THE MIRAGE I NOTICED THAT IT WAS GETTING CLOSER QUICKLY AND I PROCEEDED TO TAKE EVASIVE ACTION IN WHICH I BANKED TO THE R AND STARTED A DSCNT. THE PLT OF THE MIRAGE THEN COMPLAINED THAT HE HAD A NEAR MISS. IN MY ESTIMATION THE MIRAGE PLT SHOULD HAVE ALSO BEEN ATTENTIVE ON THE RADIO AND TWR SHOULD HAVE CALLED ME (C152) TO HIM. THE PLT OF THE MIRAGE MADE NO EFFORT TO AVOID ME OTHER THAN TO COMPLAIN TO TWR.",,,,"INSTRUCTOR WITH SPI HAS NMAC ON INITIAL CLB.",
266436,199403,1201-1800,CGF,OH,,,0,,,VMC,20,,Daylight,,,Tower CGF,FBO,Cessna 152,,1,Part 91,None,Training,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate,MU-300 Diamond 1/1A,,2,Part 91,None,Test Flight / Demonstration,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 150; Flight Crew Total 1100; Flight Crew Type 300,,,,,266436,,,Other Nonprofessional GA,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Conflict Ground Conflict; Critical; Ground Event / Encounter Loss Of Aircraft Control; Other Unspecified,Horizontal 25,,Person Flight Crew,,Aircraft Aircraft Damaged,,,"I WAS GIVEN CLRNC TO TAXI TO RWY 23. I PROCEEDED NE ON THE PARALLEL TXWY AND NOTICED A MITSUBISHI DIAMOND JET PERPENDICULAR AHEAD AND TO MY R. I SLOWED DOWN (ALMOST TO A STOP) AND HEARD THAT HE WAS SPOOLED DOWN AND THERE WAS NO VAPOR TRAIL COMING FROM THE ENGS. THE GRASS AND TREES TO MY L WERE ALSO CALM; SHOWING NO SIGN OF JET BLAST. I CONTINUED THE TAXI AND WHEN I WAS DIRECTLY BEHIND THE JET I HEARD THE ENGS RAPIDLY SPOOL UP. THE JET BLAST TOOK MY C-152 UP IN THE AIR ONTO ITS L WINGTIP AND THEN ALMOST VERTLY NOSE DOWN ATTITUDE. THE PROP HIT THE GND (BOTH TIPS) AND THE PLANE CAME BACK DOWN ON ITS R MAIN GEAR AND THEN BACK ON ALL 3 MAIN TIRES. WHEN I WAS VERT TOWARDS THE GND I PULLED OUT THE MIXTURE TO AVOID A FIRE. I WAS ALMOST FLIPPED ONTO MY BACK (INVERTED). I COULDN'T TELL IF THE ENG CEASED DUE TO THE MIXTURE BEING LEANED OR DUE TO THE PROP STRIKING THE GND. I SHUT DOWN ALL FUEL AND ELECTRICAL EQUIP AND LOOKED FOR ANY SIGN OF FUEL LEAKAGE. NONE WAS DETECTED SO I TURNED THE MASTER ON AND CONTACTED GND AND TOLD THEM WHAT HAD HAPPENED. THEY CONTACTED THE DIAMOND JET AND TOLD THEM 'THEY ALMOST CAUSED A SERIOUS ACCIDENT AND THAT THEY WERE SUPPOSED TO CONTACT THEM IF THEY WERE GOING TO DO A FULL PWR RUN-UP.' THE 'MECHS' IN THE JET REPLIED WITH A SNICKER; 'SORRY; WE WERE LOOKING AT THE GAUGES.' THE MECHS WERE TOLD TO CONTACT THE TWR WHEN THEY RETURNED TO THE FBO. THEY NEVER CONTACTED THEM. I CALLED THE TWR AND THEY BLAMED THE MECHS FOR NOT TELLING THE TWR. THE MECHS BLAMED THE TWR FOR TAXIING ME BEHIND THEM. I HAVE RECENTLY FOUND THAT THE FAA IS WRITING ME UP FOR AN INCIDENT WITH NO VIOLATION. THEY SAID SINCE I'M THE ONLY PLT INVOLVED (THE OTHERS WERE MECHS) THAT I WAS BEING WRITTEN UP. WHY WOULD A TWR TAXI AN ACFT ON THE ONLY PARALLEL TXWY PERPENDICULAR TO A POSSIBLE JET WHICH WOULD BE DOING A FULL RUN-UP? WHY WOULDN'T THE MECHS BE RESPONSIBLE FOR JET BLAST JUST AS PIC WOULD BE FOR DAMAGES? THERE ARE NO SET REGS FOR RUN- UPS THAT I COULD FIND. PLEASE HELP ME IN ANY MANNER POSSIBLE WITH MY CURRENT SIT OR ANY FURTHER ACTIONS THAT SHOULD TAKE PLACE TO PREVENT THIS FROM OCCURRING AGAIN. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATED THAT HE FELT THAT THE FAA INSPECTOR WAS ADMONISHING HIM FOR TAXIING BEHIND THE JET RUNNING UP BUT NO ACTION WAS BEING TAKEN. HOWEVER; THE RPTR DID LISTEN TO THE TWR TAPES AND COULD UNDERSTAND WHY THERE WAS CONFUSION WITH REGARD TO THE MECHS UNDERSTANDING OF HOLDING THEIR RUN-UP UNTIL THE SMA ACFT PASSED BEHIND THEIRS. HE FURTHER STATED THAT THE TWR AT NO TIME ASKED HIM TO HOLD BEFORE HE CROSSED IN BACK OF THE JET. NEITHER THE TWR OR THE MECHS RUNNING UP THE ACFT WERE AWARE OF THE RPTR'S ENCOUNTER WITH THE JET BLAST UNTIL THE RPTR CALLED THE TWR AFTER THE INCIDENT.",,,,"SMA SEL TRAINING ACFT IS STRUCK BY JET BLAST DURING TAXI RESULTING IN DAMAGE TO THE ACFT'S PROP AND BOTH WINGTIPS.",
268526,199404,1201-1800,SWF,NY,,,,3500,,,,,,,,TRACON N90,FBO,Cessna 152,,1,Part 91,VFR,Training,,Cruise; Cruise,Vectors,Class E N90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 9,,,,,268526,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Deviation - Track / Heading All Types,,,Person Flight Crew,,Air Traffic Control Provided Assistance,,Human Factors,"TRAINING FLT -- SOLO XCOUNTRY. NOT SURE IF 1 OF MY CHK POINTS WAS ACTUALLY WHAT IT WAS SUPPOSED TO BE. DETERMINED THAT I HAD FLOWN OFF COURSE. CONTACTED MY APCH. INSTEAD OF SAYING I HAD 2 HRS OF FUEL ON BOARD; I SAID I HAD HALF TANKS. I WAS DIRECTED TO AN ARPT TO FUEL UP IF NECESSARY. I LANDED; TOOK STOCK OF MY SIT AND FLEW BACK TO MY HOME ARPT.",,,,"FLT ASSIST FOR SPI ON SOLO XCOUNTRY.",
270172,199405,1201-1800,JVL,WI,,3,,1200,,VMC,15,,Daylight,,,Tower JVL,FBO,Cessna 152,,1,Part 91,None,Training,,Climb,,Class D JVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA-23-250 Aztec,,1,Part 91,,,,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 60; Flight Crew Total 390; Flight Crew Type 180,,,,,270172,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Student,,,,,,,Conflict NMAC; Other Unspecified,Horizontal 0; Vertical 400,,Person Flight Crew,,Flight Crew Took Evasive Action,,Human Factors,"JUST MINS AFTER DEPARTING JVL RWY 36; AND TURNING TO HDG 090 DEGS; I JUST HAPPENED TO LOOK DOWN AND TO MY R TO SEE AN AZTEC FLYING APPROX 400-500 FT BELOW ME. HE APPEARED TO BE FOLLOWING THE RAILROAD TRACKS APPROX 3 MI NE OF JVL ARPT; AND HDG ABOUT 120 DEGS SE. OUR ALT WAS 1600-1700 FT MSL; AND CLBING; AND I WAS WONDERING WHERE HE WAS GOING WHEN I HEARD THEM ON THE JVL TWR FREQ 118.8 SAYING 'THEY WERE ALMOST HIT BY A C-152.' UPON RETURN TO THE ARPT; I RECEIVED A PHONE CALL FROM THE PLT OF THE AZTEC WAS ASKED IF I WAS THE PIC OF THE C-152; MY HDG; AND ALT; AND IF I HAD SEEN HIM CLOSING ON ME. I REPLIED; 'NO; NOT UNTIL PASSING BELOW; AND BEHIND ME ON THE R.' HE THEN STATED; 'HE WAS DSNDING THROUGH 2000 FT MSL; AND THAT WE WERE ONLY 4-5 SECONDS FROM IMPACT; AND THAT HIS SPD WAS 100 KTS;' AND ASKED MY AIRSPD. I REPLIED '65 KT.' THAT WAS THE BULK OF THE SHORT AND ANGRY CONVERSATION. CONTRIBUTING FACTORS: ON A GOOD VFR DAY; ESPECIALLY A WKEND; AN INORDINATE AMOUNT OF ACFT DSND UPON JVL TO GO TO THE RESTAURANT AT THE TERMINAL. AT PEAK TIMES; AS WAS THIS; THERE ARE SO MANY ACFT INBOUND THE CTLRS CAN'T KEEP UP WITH ALL THE TFC; AND RADIO CALLS BECOME VERY HURRIED TO SAY THE LEAST. AT THIS PARTICULAR TIME; FREQ CONGESTION WAS SO BAD FROM ARRIVING/DEPARTING ACFT; THE STUDENT AND I SHUT DOWN THE ENG TO SAVE FUEL ON THE RAMP WHILE TRYING TO GET A TAXI CLRNC. WHEN FINALLY GETTING A WORD IN AND RECEIVING ONE; WE TAXIED AS INSTRUCTED. WE WERE ADVISED TO THEN BACK TAXI RWY 36 AND RPT WHEN READY. WE WERE READY QUITE SOME TIME AND TRYING TO CALL FOR TKOF CLRNC WHEN THE TWR FINALLY CALLED US TO ASK IF WE WERE READY FOR TKOF. WE SAID 'AFFIRMATIVE' AND WERE CLRED FOR A R TURN OUT. THE STUDENT I WAS WITH WAS ONLY ABOUT 3 HRS INTO TRAINING; AND FLIES ONCE A MONTH IF SHE CAN. TKOF WAS STRENUOUS AS I HAD TO ASSIST AND WATCH AIRSPD VERY CLOSELY. CLBOUT WAS A STRUGGLE TO MAINTAIN VY IN THE VERY LIGHT TURB; AND SHE REQUIRED A CONSTANT ASSIST WITH THE PITCH TO CONTINUE THE CLB. ALL THIS WHILE WATCHING FOR THE AZTEC AHEAD OF US THAT HAD RPTED INBOUND FROM THE N. AT 1200 FT MSL WE MADE A TURN TO THE R TO HEAD FOR THE E TRAINING AREA; AND CONTINUED TO CLB (HDG 090 DEGS). A MIN OR SO AFTER IS WHEN THE INCIDENT OCCURRED. CONTRIBUTING FACTORS WERE' 1) THE INABILITY OF THE STUDENT TO CTL ACFT. 2) INSTRUCTOR'S ATTN FOCUSED ON MAINTAINING ACFT CTL. 3) EXTREME FREQ CONGESTION. 4) NUMEROUS INBOUND AND DEPARTING ACFT. OTHER PROBABLE CAUSES: 1) AZTEC WAS SUPPOSEDLY HIGH AND TO THE L; L WING MAY HAVE BEEN BLIND SPOT. 2) PLT OF AZTEC HAD HIGH WORKLOAD PREPARING TO LAND AND TRYING TO DECIPHER ACFT POS FROM EXTREMELY CONGESTED FREQ. 3) CTLRS UNABLE TO GIVE TFC RPTS DUE TO EXTRA HVY WORKLOAD AT THE TIME. HOW IT WAS DISCOVERED: UPON LOOKING DOWN; BEHIND AND TO THE R; THEN HEARING THE NEAR MIDAIR COLLISION BEING RPTED BY THE PLT OF THE AZTEC ON JVL TWR FREQ. CORRECTIVE ACTIONS: PERHAPS INBOUND PLTS COULD BE MADE AWARE THAT THERE IS NO RADAR IN JVL AND THAT THEY NEED TO BE MORE AWARE OF WHERE OTHER PLANES ARE BY LISTENING TO OTHER PLANE'S POS RPTS AND CLRNCS.",,,,"NMAC BTWN SMA ON CLBOUT AND SMT ON APCH.",
