 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

260052,199401,0601-1200,TNP,CA,,0,0,,,,,,,,,,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,,Passenger,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Gear Down Lock,,X,Malfunctioning; Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 30; Flight Crew Total 4500; Flight Crew Type 500,,,,,260052,,,Other Other,FBO Personnel,Other Other,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Aircraft Aircraft Damaged,,Aircraft,"WHILE TAXIING FOR DEP THE NOSE GEAR COLLAPSED. DAMAGE TO PROP. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES ACFT IS A CESSNA 210 WHICH HAD A NOSE GEAR DOWNLOCK SPRING INSTALLED IMPROPERLY AT THE FACTORY. THE DOWNLOCK SPRING HAS A 'T' SHAPE DEVICE WHICH WRAPS AROUND IT AND THE 'EARS' OF THE 'T' WERE BROKEN. THIS ALLOWED THE NOSE GEAR TO BE IN A 'STUCK' DOWN POS; BUT NOT LOCKED DOWN; AS THE SPRING DID NOT ENGAGE. RPTR VERY UPSET AS HE IS METICULOUS ABOUT MAINT AND TEACHES FLT SAFETY FOR AOPA. ASKED IF VISIBLE ON PREFLT; RPTR STATED NO; IT COULD NEVER BE SEEN. IN ADDITION; IT WOULD ONLY BE PICKED UP ON AN ANNUAL IF THE MECH WAS AWARE OF THE PROB. HE WOULD NEED A FLASHLIGHT AND MIRROR TO CHK THE PART. RPTR'S MECH HAS BEEN DEALING WITH MANUFACTURER; AND APPARENTLY; THE SAME PROB HAS OCCURRED ON THE CESSNA 172 RG AND THE CESSNA 182 RG. DAMAGE TO ACFT WAS MINIMAL AS SPD WAS SLOW.",,,,"SMA HAS NOSE GEAR COLLAPSE ON TAXI FOR TKOF.",
260616,199401,1801-2400,BXA,LA,,,0,,,VMC,10,,Dusk,5000,,,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,VFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 100; Flight Crew Total 2000; Flight Crew Type 1600,,,,,260616,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,"THE ALTERNATOR LIGHT ACTIVATED DURING CRUISE; IFR FROM JACKSON; MS; TO NEW ORLEANS LAKEFRONT. I REQUESTED AND RECEIVED VECTORS TO THE NEAREST ARPT; BXA FROM APCH; TO CHK THINGS OUT. NO PROB COULD BE FOUND AFTER RESTART SO I PROCEEDED TO DEPART BXA WITH POSITIONING LIGHTS ONLY TO CONSERVE PWR. I DID NOT USE THE LNDG LIGHTS. I THEN LANDED AT NEW WITHOUT INCIDENT. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATED THAT THE CESSNA 210 ALTERNATOR BELT HAD BROKEN CAUSING THE ALTERNATOR TO NOT RECHARGE THE BATTERY. HOWEVER; WHEN THE AMP METER REGISTERED A POSITIVE FLOW DURING INSPECTION AFTER HIS PRECAUTIONARY LNDG; THE RPTR BELIEVED THAT HE WAS GETTING CURRENT FROM THE ALTERNATOR. HE COULD NOT SEE THE BROKEN DRIVE BELT; THEREFORE; HE DID NOT KNOW AT THAT TIME HE WAS NOT GETTING A CHARGE! HE ELECTED TO NOT USE THE LNDG LIGHT IN ORDER TO SAVE CURRENT IN CASE HE WAS NOT GETTING THE NORMAL OUTPUT. HE FURTHER STATED THAT HE READS ALL CALLBACKS AND BELIEVES THAT MOST ARE SUBMITTED TO HELP PLTS TO NOT BE VIOLATED BY THE FAA.",,,,"PLT OF A SMA PVT ACFT MADE TKOF WITHOUT USE OF ACFT LNDG LIGHTS TO CONSERVE THE BATTERY LOAD DUE TO ALTERNATOR MALFUNCTION.",
262744,199402,0601-1200,DSM; MLI,IL,,,0,,,VMC,,,Dusk,,,Tower MLI,Air Taxi,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 135,IFR,Cargo / Freight / Delivery,,Initial Approach; Landing; Landing; Takeoff / Launch,,Class D MLI,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 220; Flight Crew Total 1470; Flight Crew Type 220,,,,,262744,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Overcame Equipment Problem,,Aircraft,"LEAVING DSM THE GEAR ON MY CT210 WOULD NOT RETRACT. I CONTINUED ON TO MY DEST. AFTER A FLY-BY; THE TWR SAID; 'THE GEAR APPEARS DOWN AND LOCKED.' HOWEVER; IT WAS NOW LIGHT ENOUGH AND I COULD SEE THAT THE R MAIN WAS NOT LOCKED. AFTER EXHAUSTING THE CHKLIST AND PERFORMING HIGH G TURNS AND SLIPS I RETURNED FOR A TOUCH-AND-GO STRIKING ONLY THE MAINS. THIS RESULTED IN A GREEN LIGHT. I THEN RETURNED FOR A SOFT FIELD LNDG AND ROLLED OUT USING NO BRAKING.",,,,"C-210C EXPERIENCES ACFT EQUIP PROB MALFUNCTION IN R GEAR DOWNLOCK MECHANISM INDICATING SYS.",
265577,199403,0601-1200,LVK,CA,,,,4000,,IMC,,,Daylight,,,TRACON OAK,FBO,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,IFR,Passenger,,Cruise; Cruise,Vectors,Class E OAK,,,,,,,,,,,,,,,,,,,,,,,,DC Regulator,,X,Malfunctioning; Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 160; Flight Crew Total 1450; Flight Crew Type 40,,,,,265577,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Automation Aircraft Other Automation; Person Other Person,,General Declared Emergency,,Aircraft,"WHILE ENRTE FROM APC TO SJC ON AN IFR FLT I NOTICED THE LOW VOLTAGE WARNING LIGHT ILLUMINATE. HOWEVER; THE AMMETER SHOWED NO DISCHARGE. I RECYCLED THE MAIN MASTER SWITCH AND THE VOLTAGE LIGHT WENT OUT. I CONTINUED TO WATCH THE AMMETER CAREFULLY. AROUND OAKLAND I RECEIVED THE INSTRUCTION 'FLY HDG 120 DEGS RADAR VECTORS ILS RWY 30L.' WHEN I WAS TOLD TO CONTACT BAY APCH ON 135.40 I CHANGED FREQ BUT COULD NOT MAKE CONTACT WITH THE NEXT CTLR. MY COM RADIOS WERE NOT WORKING; THEN MY NAV RADIOS QUIT; AND THEN THE LORAN. AT THIS POINT I REALIZED THAT I HAD AN ELECTRICAL FAILURE. THE AMMETER STILL SHOWED NO DISCHARGE. I WAS IMC SO I SQUAWKED 7600 AND IN A MATTER OF MINS BROKE OUT INTO VFR CONDITIONS. I HAD CONTINUED TO MAINTAIN 4000 FT AND HDG 120 DEGS; THE LAST INSTRUCTIONS RECEIVED. KNOWING I SHOULD BE NEAR LIVERMORE; I BEGAN TO LOOK FOR IT. I FOUND LIVERMORE ARPT AND CIRCLED DOWN WHILE I PUMPED DOWN MY LNDG GEAR MANUALLY AND LOOKED FOR PATTERN TFC AND WIND CONDITIONS. BECAUSE OF A FOG BANK ON THE N SIDE OF THE RWYS I MADE A L TFC FOR RWY 25R; RECEIVED THE LIGHT GUN SIGNALS; AND LANDED. AFTER LNDG I IMMEDIATELY PHONED BAY TRACON AND LIVERMORE TWR WHO BOTH SAID THAT MY SIT HAD CAUSED NO PROBS AND THEY WERE GLAD THAT I WAS DOWN AND SAFE. LATER WHEN OUR MECHS FIXED THE 210 THEY SAID THAT THE PROB HAD BEEN A FAILURE INFLT OF THE VOLTAGE REGULATOR (ACU) AND ASSOCIATED WIRING. I WAS THE SOLE OCCUPANT DURING THIS INCIDENT.",,,,"SMA IN IMC HAS ELECTRICAL FAILURE.",
268325,199404,0601-1200,LAL,FL,,,0,,,VMC,,,Daylight,,,Tower LAL,Personal,Cessna 195,,1,Part 91,None,Personal,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 15; Flight Crew Total 12858; Flight Crew Type 2992,,,,,268325,,,Other Other,Other,Other Other,,,,,,,Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"WHILE LNDG AT LAKELAND; FL; DURING 'SUN-N-FUN' SPECIAL PROCS; I COMPLIED WITH LAKE PARKER ARR (HANG UP YOUR MIKE; DON'T CALL US; MONITOR 127.7; ETC.). WAS INSTRUCTED TO 'LAND LONG; LAND PAST THE (TRIANGLE? DIAMOND?) IN FRONT OF THE TWR.' COMPLIED TO THE LETTER; LNDG ON THE NARROW PARALLEL TXWY (TEMPORARY 9L) IN A MODERATE XWIND IN MY CESSNA 195. CORRECTED A SLIGHT SWERVE DUE TO THE XWIND; AND WHILE STILL ROLLING AT CONSIDERABLE SPD; I WAS SURPRISED TO SEE CTLRS WITH ORANGE PADDLES; ETC.; AT THE INTXN AHEAD APPARENTLY STEERING TFC TO THE L. AS I ROLLED THROUGH THE INTXN I WAS ASTOUNDED TO SEE A CTLR ON MY R (BLIND) SIDE QUITE FIRMLY AND FORCEFULLY INDICATING THAT I TURN L. WITH 3000 HRS IN THE CESSNA 195; I NOW WHEN I AM GOING TOO FAST TO TURN (A GND LOOP WOULD HAVE BEEN INEVITABLE); SO I CONTINUED THROUGH THE INTXN. I PROCEEDED TO THE END AND CLRED AS EXPEDITIOUSLY AS POSSIBLE. SLIGHTLY SHAKEN; AND KNOWING THAT I HAD AVERTED A CERTAIN ACCIDENT BEING DIRECTED BY THE CTLRS; I WAS SOMEWHAT CHAGRINED TO REALIZE THAT I WAS NOW BTWN 2 VERY ACTIVE RWYS. NO CTLRS BEING IN SIGHT IN EITHER DIRECTION; I LOOKED DOWN THE OTHER RWY; NOTED THAT LNDG TFC WAS AT THAT MOMENT TURNING OFF AT MID-FIELD; AND CLRED ACROSS AS EXPEDITIOUSLY AS POSSIBLE. THE ONLY POINT IN SUBMITTING THIS RPT IS TO NOTE THAT HARD-WORKING; WELL INTENTIONED CTLRS; IN THE INTEREST OF EXPEDITING TFC IN A HIGH- PRESSURE SIT; COULD CONTRIBUTE TO AN ACCIDENT RATHER THAN AVOIDING ONE. I COULDN'T BELIEVE THE GUY WANTED ME TO TURN AT THE SPD I WAS GOING; BUT HE PROBABLY COULDN'T BELIEVE THAT I WOULDN'T FOLLOW HIS DIRECTIONS.",,,,"SMA LNDG AT SPECIAL EVENT UNABLE TO TURN AS DIRECTED. ROLLS TO TXWY END; CROSSES ACTIVE RWY.",
274064,199406,1201-1800,APA,CO,,0,0,,,VMC,,,Daylight,5000,,Tower APA,FBO,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,VFR,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 21; Flight Crew Total 1340; Flight Crew Type 1,,,,,274064,,,Other Compensated GA,Check Pilot,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 110; Flight Crew Total 3100; Flight Crew Type 10,,,,,274224,Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"AFTER LNDG ON RWY 28 AT APA AND THE PLANE WAS DECELERATING AND THE ACFT BEGINNING VEERING TO THE R OF THE CTRLINE EVEN WITH FULL L DEFLECT OF THE RUDDER. I BEGAN APPLYING L BRAKING AND THE ACFT STILL CONTINUED TO DRIFT TO THE R. AT THIS POINT I WAS APCHING THE TXWY MARKER AS IT WAS EVIDENT THE PLANE COULD NOT BE PUT BACK ON THE RWY; I HAD TO APPLY BOTH BRAKES TO PREVENT HITTING THE MARKER. THE MARKER IS A LIGHTED STANDARD SIZE. WHEN THE R BRAKE WAS APPLIED THE ACFT TURNED IMMEDIATELY TO THE R; AND OFF THE RWY BEFORE TXWY C-2. THE ACFT STOPPED APPROX 8-10 FT OFF THE SIDE OF THE RWY. IN THE PROCESS I BROKE A LENS COVER ON ONE OF THE WHITE RWY LIGHTS. AT THE TIME OF THE ACCIDENT THE WIND WAS RPTED 13 KTS; AT 360. HOWEVER; ON SHORT FINAL; I LOST 10-12 KTS AIRSPD AND ENCOUNTERED A HIGH SINK RATE APPROX 30-40 FT ABOVE THE GND. I APPLIED ALMOST FULL PWR AND TOUCH WAS SMOOTH; BUT MY GND SPD WAS HIGH. I WAS LNDG WITH A R QUARTERING HEADWIND. I APPLIED R AILERON; BUT I BELIEVE A WIND SHEAR CONDITION EXISTED AT GND LEVEL DUE TO LOSS OF LIFT ON SHORT FINAL AND BY APPLYING R AILERON THE L BRAKE WAS LARGELY INEFFECTIVE; DUE TO THE WIND SHIFT TO A QUARTERING (L) TAILWIND THE ACFT VEERED TO THE R. THERE WERE TSTMS N OF THE FIELD. SUPPLEMENTAL INFO FROM ACN 274224: I THINK THE PROB COULD HAVE BEEN AVOIDED IF THE PLT HAD RECOGNIZED THE POTENTIAL FOR WIND SHEAR AND HAD POSSIBLY BEEN WARNED BY ATC. IF THE PLT HAD NOT CHOSEN RWY 28 TO LAND ON AND HAD CONTINUED FOR RWY 35R WHICH WAS MUCH WIDER HE WOULD HAVE HAD A BETTER CHANCE OF AVOIDING THE PROB.",,,,"RWY EXCURSION AFTER LNDG.",
274207,199406,0601-1200,CRP,TX,,0,0,,,,,,,,,Tower CRP,Air Taxi,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 135,IFR,Cargo / Freight / Delivery,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Main Gear,,X,Improperly Operated,,,Commercial Fixed Wing,,,Other Unknown,,,,Taxi; Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 160; Flight Crew Total 1500; Flight Crew Type 140,,,,,274207,,,Government,Ground,Air Traffic Control Fully Certified,,,,,,,Other Runway Or Taxiway Excursion; Other Unspecified,,,Person Other Person,,General None Reported / Taken,,Human Factors,"THE MORNING OF JUN/XX/94 I PICKED UP MY IFR CLRNC ON THE FBO RAMP; WHILE I WAS TAXIING OUT TO THE BEGINNING OF THE TXWY. AT THIS TIME A JET JUST CAME IN AND WAS GOING TO FBO RAMP. SO I DECIDED TO GIVE HIM SOME MORE SPACE. I WAITED FOR HIM AT THE CORNER OF THE TXWY AND THE RAMP. AT THIS TIME I PICKED UP MY TAXI CLRNC AND AFTER THE JET PASSED ME I STARTED ROLLING. BUT SINCE IN THE C-210 YOUR VIEW IS LIMITED; THE PLT SITS LOW SO IT IS HARD TO SEE WHAT IS RIGHT IN FRONT OF YOU; I COULDN'T SEE CLRLY WHERE I WAS IN RELATION TO THE TXWY. THIS IS WHERE I MADE MY MISTAKE. THAT'S WHERE I TURNED TOO EARLY TO GET ON THE TXWY. DURING THIS MANEUVER; I GOT OFF THE RAMP IN THE GRASS AND UNFORTUNATELY; WITHOUT MY KNOWLEDGE; I HIT A TAXI LIGHT. THIS IS WHAT I HEARD LATER THAT WK. WHAT I LEARNED FROM THIS IS THAT I SHOULD PAY MORE ATTN TO THE YELLOW LINES (NO SHORT CUTS) AND THIS IS WHAT I'LL DO FROM NOW ON: PICK UP MY CLRNC BEFORE I START ROLLING ON THE RAMP.",,,,"SMA GOES OFF TXWY; HITS TAXI LIGHT.",
274416,199406,1201-1800,FSM,AR,125,27,,10000,,Mixed,3,,Daylight,13000,,Center ZME; TRACON FSM,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,VFR,Passenger,,Cruise; Cruise,,Special Use R2401,,,,,,,,,,,,,,,,,,,,,,,,Air/Ground Communication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 200; Flight Crew Type 105,,,,,274416,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter VFR In IMC; Other Airspace Violation Entry or Exit; Other Unspecified,,,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Exited Penetrated Airspace,,Human Factors,"I WAS FLYING ON A HDG OF 125 DEGS FROM A LINE W OF FORT SMITH; ARKANSAS; ON A VFR FLT. MY FLT ORIGINATED AT SUNDANCE AIRPARK (HSD); OKLAHOMA CITY; OKLAHOMA. I HAD FILED A FLT PLAN WITH FSS MCALISTER AND HAD VFR FOLLOWING FROM OKLAHOMA CITY TO FORT SMITH; ARKANSAS TO HOT SPRINGS; ARKANSAS TO DESTIN; FLORIDA. I WAS IN CONTACT WITH ZME WHO INFORMED ME ABOUT THE WX AT FORT SMITH AND IN SOUTHERN OKLAHOMA. WITH ZME ADVISEMENT I WAS PROCEEDING CLR OF THE WX DIRECT TO HOT SPRINGS ARKANSAS. WX ABRUPTLY CHANGED WHEN I WAS SE OF FORT SMITH TO LESS THAN VFR. I; THEREFORE; MADE A STANDARD COORDINATED TIMED TURN TO A WESTERLY DIRECTION. I RECOGNIZED THIS AS AN EXTREME EMERGENCY AND I KNEW I MUST TAKE WHATEVER PROCS NECESSARY TO EXTRACT MYSELF FROM THIS ADVERSE WX CONDITION THAT HAD SUDDENLY ENVELOPED ME. BECAUSE OF THE ADVERSE WX CONDITIONS; I UNKNOWINGLY LOST RECEPTION ON MY #2 RADIO. MY RECEIVER HAD FAILED WITHOUT MY KNOWLEDGE. WITH THE EXTREME TURB MY DIRECTIONAL GYRO PROCESSED AND I WAS FLYING OFF MY STANDBY COMPASS. THE #1 THING IN MY MIND WAS FLYING THE AIRPLANE FIRST. I FLEW ON A WESTERLY HDG BASED ON A TIMED STANDARD RATE TURN. THIS BROUGHT ME OVER THE RESTR AREA OF FORT CHAFFEE. BECAUSE OF THE HARD DRIVING RAIN MY FORWARD VISION WAS RESTR. BEFORE I CHANGED COURSE; I COULD SEE LATTERLY AND DOWNWARD FROM MY POS OF 11500 FT. I IMMEDIATELY BEGAN TO DSND AS I TURNED. I HAD REDUCED MY SPD TO MANEUVERING SPD. I RECOGNIZED THAT I WAS OVER FORT CHAFFEE AND RECOGNIZED FORT SMITH ARPT. I CALLED FORT SMITH APCH AND THEY WERE HELPFUL. I CALLED FORT SMITH ON MY #1 RADIO LEAVING ZME ON MY #2 RADIO STILL NOT AWARE THAT RECEPTION HAD FAILED ON THE #2 RADIO. I WAS VERY APPRECIATIVE OF THE PROFESSIONAL AND HELPFUL ATTITUDE OF THE CTLRS AT FORT SMITH.",,,,"PVT PLT OF A SMA ENTERED A RESTR AREA DUE TO INFLT WX ENCOUNTER RESULTING IN A FLT ASSIST FROM ATC.",
