 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

260785,199401,1201-1800,38S; 3S8,OR,,0,,3000,,VMC,,,Daylight,,,,Personal,Cessna 150,,1,Part 91,VFR,Ferry / Re-Positioning,,Cruise; Takeoff / Launch; Landing; Cruise; Landing,,Class G 3S8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Total 10000,,,,,260785,,,Other Other,Other,Other Other,,,,,,,Deviation / Discrepancy - Procedural FAR; Other No Specific Anomaly Occurred,,,Person Flight Crew,,General None Reported / Taken,,,"MECH AT GRANTS PASS WAS STARTING A 100 HR ROUTINE INSPECTION. HE ADVISED THAT HE WOULD PROBABLY HAVE TO MAJOR THE ENG BEFORE CHKING THE COMPRESSION OR OTHER CHKS. WE ADVISED HIM TO STOP THE WORK AND WE WOULD PAY HIM FOR HIS TIME. WE PICKED UP THE ACFT; A CESSNA 150; WHICH HE ADVISED US WAS OK TO FLY. WE FERRIED IT TO ANOTHER MECH TO DO THE INSPECTION AND THE SECOND MECH DISCOVERED THAT THE FIRST HAD PUT A NOTE IN THE BACK OF THE LOGBOOK ON A SEPARATE SHEET OF PAPER THAT THE ACFT WAS NOT AIRWORTHY. HAD WE KNOWN HE HAD DONE THIS; WE WOULD HAVE OBTAINED A FERRY PERMIT. NO PROBS WHATSOEVER WERE NOTED ON THE FLT TO THE NEW MECH; WHO ADVISED THAT THE ENG WAS NOT EVEN CLOSE TO NEEDING AN OVERHAUL. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES THAT THE NOTE IN BACK OF LOGBOOK INDICATED NOT AIRWORTHY DUE TO NOT COMPLETING THE 100 HR INSPECTION. ACFT WAS STILL WITHIN ITS ANNUAL TIME FRAME AND THUS LEGAL TO FLY. RPTR FEELS THE MECH WHO WAS VERY UPSET; WAS PROTECTING HIMSELF WITH THE NOTE. RPTR CONCERNED THAT MECH MIGHT CONTACT THE FAA; THUS HIS RPT.",,,,"SMA FERRIED TO ANOTHER ARPT FOR MAINT. FIRST MECH HAD SAID 'OK TO FLY' BUT PLACED SHEET IN BACK OF LOG INDICATING NOT AIRWORTHY.",
261139,199401,1201-1800,GEG,WA,,,,2500,,Mixed,3,,Daylight,500,,TRACON GEG,FBO,Cessna 150,,1,Part 91,None,Personal,,Cruise; Cruise; Cruise; Other Divert,Direct,Class E GEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,None,Personal,,Cruise; Cruise; Cruise; Other Divert,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 1000,,,,,261139,,,,,,,,,,,,Conflict Ground Conflict; Less Severe; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter VFR In IMC; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,,,Human Factors,"WHILE FLYING IN A RENTED ACFT (C-150) SOUTH OF SPOKANE WASHINGTON (FELTS FIELD) ON A PLEASURE FLT; I ENCOUNTERED LOWERED CEILINGS OF CLOUD COVER CAUSING ME TO BE LESS THAN THE MINIMUM ALT OF 500 FT ABOVE CONGESTED AREAS. THIS CAUSED ME TO LOOK FOR AN ALTERNATE RTE TO REMAIN CLR OF CLOUDS AND ABOVE 500 FT OVER THE CONGESTED AREA. ULTIMATELY I ENDED UP REVERSING MY DIRECTION AND RETURNING TO THE AIRFIELD.",,,,"INADVERTENT LOW ALT CIVIL OP IN PROX TO GND WAS IN VIOLATION OF FARS.",
261154,199401,1201-1800,FTG; GXY,CO,,12,,5900,,VMC,,,Daylight,,,,FBO,Cessna 150,,1,Part 91,None,Personal,,Cruise; Cruise,Direct,Class E ZDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 42; Flight Crew Total 91; Flight Crew Type 84,,,,,261154,,,Other Other,Passenger,Other Other,,,,,,,Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Person Flight Crew,,Flight Crew Returned To Clearance; Flight Crew Exited Penetrated Airspace,,Human Factors,"WE WERE RETURNING FROM GREELEY ARPT (GXY) AND WAS LOOKING FOR MY PAX FRIEND'S FARM AT AN ALT OF 6000 FT MSL. PASSING VAN AIRE WE FOLLOWED A DIRT ROAD LOOKING FOR THE FARM. MY PAX DID NOT RECOGNIZE AREA. WHILE I WAS LOOKING AT STAPLETON TCA CHART AND FLYING THE AIRPLANE WE CAME TO A SMALL CLUSTER OF HOMES NOT SEEN ON THE CHART. I ENGAGED FULL PWR AND CLBED OUT OF THE AREA TO THE E THEN CLBED TO 7000 FT AND RETURNED TO FTC. I BELIEVE THERE SHOULD HAVE BEEN 1000 FT SEPARATION BTWN US AT THE HOMES. THE TERRAIN WAS RISING IN THIS AREA AND BECAUSE OF OUR LOW ALT IN LOOKING FOR THE FARM WE MAY HAVE BEEN EVEN LOWER THAT 500 FT AGL.",,,,"INADVERTENT LOW ALT CIVIL OP FLIES IN PROX TO OBSTRUCTION BUILDINGS.",
261405,199401,0601-1200,RNO,NV,,,0,,,VMC,40,,Daylight,,,Tower RNO,FBO,Cessna 150,,1,Part 91,VFR,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Air Transport Pilot (ATP); Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 30; Flight Crew Total 4800; Flight Crew Type 1000,,,,,261405,,,Other Nonprofessional GA,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Landing Without Clearance; Other Unspecified,,,Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"ON A DUAL XCOUNTRY WITH A STUDENT PLT (BIH TO RNO); TUNED IN ATIS INFO YANKEE ABOUT 30 NM SE OF RNO; WITH 5 MINS OF THE NEW ATIS. IT STATED 'LNDG AND DEPARTING 16R.' KNOWING THAT 16L HAS BEEN CLOSED FOR CONSTRUCTION FOR THE LAST 1 1/2 YRS; I ASSUMED THAT IT STILL WAS. MY 'MINDSET' WAS THAT WE WOULD LAND 16R. BY THE TIME WE ENTERED THE PATTERN THE L RWY WAS REOPENED AND WE WERE CLRED TO LAND 16L. I 'HEARD' 16R AND FOLLOWED A 727 TO LNDG. THERE WAS NO LOSS OF SEPARATION. I DIDN'T KNOW THAT THERE WAS A PROB UNTIL AFTER LNDG AND WAS TOLD TO 'CALL THE TWR.' I FEEL A NUMBER OF THINGS HAPPENED TO CAUSE THIS SIT. THE RWY (16L) WAS CLOSED WHEN WE HEARD THE ATIS. THE RWY WAS REOPENED BEFORE WE LANDED. I WAS EXPECTING TO HEAR 16R AND 'HEARD' WHAT I EXPECTED. THE DISTR OF A STUDENT PLT'S NERVOUSNESS AT USING THE RADIO AT OTHER THAN AN UNCTLED ARPT AND HIS ACKNOWLEDGING WITH THE 'TAIL NUMBER' ONLY. THAT DISTR PREVENTED ME FROM QUESTIONING XMISSIONS THAT 'DIDN'T SOUND RIGHT' AND ASSUMED IT WAS OKAY. TO PREVENT THIS FROM HAPPENING AGAIN; I RECOMMEND THE FOLLOWING. ACKNOWLEDGE EVERY RWY XMISSION WITH THAT RWY NUMBER. WHEN A RWY IS REOPENED; LIKE THIS; MAKE SURE PLTS KNOW IT. MAKE PLTS ACKNOWLEDGE WITH RWY NUMBERS; EVERYTIME. IF THEY DON'T MAKE THEM VERIFY. TO PREVENT THE ABOVE SITS; DON'T ALLOW COCKPIT DISTRS TO DISTRACT YOU. DON'T 'EXPECT' ANYTHING; ALWAYS LISTEN TO AND 'HEAR' WHAT IS SAID.",,,,"STUDENT ON A DUAL XCOUNTRY LANDS ON THE WRONG PARALLEL RWY.",
261567,199401,1201-1800,NTD,CA,,2,,1700,,VMC,30,,Daylight,,,Tower NTD,Personal,Cessna 150,,1,Part 91,None,Personal,,Cruise; Cruise,Direct,Class D NTD,,,,,,,,,,,,,,,,,,,,,,,,Indicating and Warning - Landing Gear,,Y,Malfunctioning,,Military,Intruder (A6),,2,Other Other,VFR,Tactical,,Landing; Other Pattern,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 5; Flight Crew Total 1250; Flight Crew Type 400,,,,,261567,,,Military,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR,Horizontal 1000,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Procedure,Human Factors,"I AM NOT WRITING THIS RPT IN AN EFFORT TO GAIN IMMUNITY FOR MYSELF; BUT IN AN EFFORT TO POINT OUT SOMETHING UNSAFE WHICH I HAVE SEEN QUITE A FEW TIMES. I HAD JUST TAKEN OFF FROM CAMARILLO ARPT (CMA) ENRTE TO SANTA MONICA (SMO). MY RTE OF FLT TOOK ME DIRECTLY OVER NAS POINT MERGER (NTD). AFTER TAKING OFF FROM CMA I CALLED NTD TWR TO TRANSITION THEIR CLASS D AIRSPACE. THE TRANSITION WAS APPROVED; MY ALT VERIFIED AND EVERYTHING WAS PROCEEDING NORMALLY. THE TWR WAS BUSY AND ONE OF THE CTLRS (THERE WERE 2 VOICES) WAS OBVIOUSLY IN TRAINING. THE TWR POINTED OUT AN A-6 ON DOWNWIND FOR RWY 21 AND I WAS TOLD HE WOULD BE LNDG. SHORTLY AFTER THAT I HEARD THE INSTRUCTOR CTLR SAY SOMETHING ABOUT SOMEBODY HAVING AN UNSAFE GEAR INDICATION AND THAT ACFT WAS INSTRUCTED TO CLB TO 2200 FT (I WAS AT 1700 FT) AND TURN L TO OVERFLY THE ARPT. THIS MADE ME A LITTLE MORE ALERT AS I STARTED LOOKING AROUND. THE A-6 I HAD POINTED OUT TO ME STARTED A L TURN TO WHAT LOOKED LIKE A BASE LEG. IT WAS NOT UNTIL HE WAS ON A COLLISION COURSE WITH ME THAT I NOTICED HE WAS CLBING! MOST PEOPLE KNOW AN A-6 EASILY OUT CLBS A CESSNA 150. I TURNED ABOUT 120 DEGS TO THE R AND HAD THE A-6 COME WITHIN 1000 FT OR SO. I REALIZE THAT BEING VFR I WAS REQUIRED TO MAINTAIN MY OWN SEPARATION FROM THE A-6; AND I AM NOT SUGGESTING THAT TWRS START PROVIDING SEPARATION TO VFR ACFT. HOWEVER; THERE ARE A FEW CONTRIBUTING FACTORS TO THIS 'INCIDENT.' THE A-6 WAS TALKING TO THE TWR ON UHF AND I WAS ON VHF. SO I HAD NO IDEA WHAT HE WAS SAYING AS I WOULD HAVE IF BOTH OF US WERE ON THE SAME FREQ. I THINK CTLRS NEED TO BE CONSCIOUS OF THE FACT THAT MANY PLTS RELY ON SITUATIONAL AWARENESS DEVELOPED FROM THE RADIO CONVERSATIONS. WHEN A CTLR WORKS MULTIPLE FREQS; HE NEEDS TO BE AWARE THAT HE MAY NEED TO TALK A LITTLE MORE TO OTHER AIRPLANES SINCE THEY ONLY GET WHAT THE CTLR SAYS. FINALLY; I BELIEVE THE CTLR IN THE EVENT I HAVE DESCRIBED MAY HAVE FOCUSED MORE ON TRYING TO DEAL WITH THE A-6'S GEAR PROB AND FORGOTTEN ABOUT HIS DUTY TO THE SAFE AND ORDERLY FLOW OF TFC. CTLRS MAY NEED TO BE REMINDED NOW AND THEN AS PLTS ARE TO 'FLY THE AIRPLANE FIRST.' CTLRS SHOULD PROVIDE FOR THE SAFE FLOW OF TFC THROUGH THEIR AIRSPACE. AGAIN; I AM AWARE THAT THIS OCCURRENCE WASN'T THE FAULT OF THE CTLR; AND THAT IF THERE WAS A COLLISION; THE FAULT WOULD HAVE RESTED WITH ME AND THE A-6 PLT. I JUST WANTED TO POINT OUT A SAFETY HAZARD I SEE REGULARLY.",,,,"POTENTIAL CONFLICT LESSENED BY PLT RESPONSE IN ATA TO MIL PLT'S EXECUTION OF GAR PROC.",
261678,199401,1201-1800,BGQ,AK,,1,0,,,VMC,99,,Daylight,,,,FBO,Cessna 150,,1,Part 91,None,Training,,Initial Approach; Landing; Landing; Other Emergency,,Class G BGQ,,,,,,,,,,,,,,,,,,,,,,,,Carburetor,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 34; Flight Crew Total 380; Flight Crew Type 190,,,,,261678,,,Other Nonprofessional GA,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,"I PULLED THE CARB HEAT ON AND REDUCED PWR TO ABOUT 1200 RPM TO PRACTICE A SIMULATED ENG FAILURE. WE WERE DIRECTLY OVER THE BIG LAKE AIRSTRIP; SO I INSTRUCTED HIM TO MAKE HIS APCH TO THAT FIELD. AS HE ENTERED L DOWNWIND FOR THE E RWY; I CLRED THE ENG. I DID NOT CLR THE ENG AGAIN DURING THE APCH. THE STUDENT'S PATTERN WAS WIDE. WHEN WE TURNED TO FINAL AT ABOUT 500 AGL; WE WERE TOO FAR AWAY TO MAKE THE FIELD. BOTH THE STUDENT AND I RECOGNIZED THIS. I INSTRUCTED HIM TO INITIATE A GAR. AS HE WAS PUSHING IN THE THROTTLE; HE ENTERED A VERY SHALLOW R BANK. I DID NOT CORRECT THE BANK OR TELL THE STUDENT TO DO SO WHEN I FIRST NOTICED IT. HE WAS AN ADVANCED STUDENT PREPARING FOR HIS PVT CHKRIDE. I DIDN'T FEEL I SHOULD IMMEDIATELY CORRECT EVERY SMALL ERROR HE MADE. THE ENG DIDN'T RESPOND TO THE THROTTLE. WHEN I REALIZED WHAT WAS HAPPENING; I TOOK THE CTLS; CORRECTED THE BANK AND AIMED FOR THE ONLY CLRING I SAW. THE AIRSTRIP WAS TOO FAR AWAY TO BE CONSIDERED AS AN OPTION. I INITIATED THE RESTART PROCS; BUT DID NOT COMPLETE THEM. I NOTICED MY AIRSPD GETTING TOO SLOW AND THE TREES BELOW APCHING RAPIDLY. I CONCENTRATED MY EFFORTS ON MAINTAINING BEST GLIDE SPD OVER THE TREES TO THE CLRING. THE LNDG GEAR CLIPPED THE TOPS OF THE TREES JUST BEFORE THE CLRING. I LANDED AS SLOWLY AS POSSIBLE; TAIL LOW. THE NOSE GEAR HIT A BERM AND COLLAPSED. THE ACFT SLID ON ITS NOSE A SHORT DISTANCE UNTIL IT HIT ANOTHER BERM AND ROLLED OVER NOSE FIRST. WE STOPPED UPSIDE DOWN. NEITHER OF US WAS HURT -- NOT EVEN A BRUISE OR SCRATCH. THE EMER LOCATOR XMITTER WAS NOT AUTOMATICALLY ACTIVATED. ANY ENG; BUT PARTICULARLY THE CONTINENTALS OF CESSNA 150'S; NEEDS TO BE PAMPERED IN VERY COLD WX. THE TEMP IN THE PRACTICE AREA WAS 10-15 DEGS COLDER THAN AT THE POINT OF DEP. I PROBABLY HAD THE THROTTLE SET TOO LOW FOR THOSE CONDITIONS. I'VE BEEN TOLD SINCE THAT 1500 RPM IS THE LOWEST SAFE SETTING IN WINTER. THE STUDENT TOLD ME LATER THAT HIS INSTRUCTOR HAD ALWAYS TOLD HIM TO TURN OFF THE CARB HEAT AND THEN ADD THE PWR. IN WARMER CLIMATES; THAT'S NOT A PROB. IN AK; IT IS. HE MAY HAVE TURNED OFF THE CARB HEAT BEFORE ADDING PWR. ANOTHER STUDENT WHO HAD BEEN FLYING THAT ACFT LATER SAID THAT IT HAD BEEN RUNNING ROUGH AND BACKFIRING ON TOUCH AND GOES AND GARS (HE ALWAYS ADDS PWR FIRST AND THEN TURNS OFF THE CARB HEAT). A MECH WHO HAD WORKED ON THAT AIRPLANE SAID THAT THE IDLE MIXTURE MAY HAVE BEEN SET TOO LEAN.",,,,"THE ENG QUIT WHEN A STUDENT PLT TRIED TO GAR AFTER BOTCHING A SIMULATED ENG EMER.",
262532,199401,0601-1200,TUS; RYN,AZ,,20,,3200,,VMC,99,,Daylight,,,,Personal,Cessna 140,,1,Part 91,None,Personal,,Cruise; Cruise,,Class E ZAB; Special Use VR244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military,Eagle (F-15),,2,Other Other,None,Tactical,,Cruise; Cruise; Other Low Level High Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 12; Flight Crew Total 215; Flight Crew Type 117,,,,,262532,,,Military,Single Pilot; Pilot Flying,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Other Unspecified,Horizontal 30; Vertical 200,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"ON JAN/XX/94; I WAS RETURNING TO RYAN FIELD (RYN) FROM AURA VALLEY (E14) FLYING SOLO IN MY CESSNA-140. THE DISTANCE OF THE FLT IS ONLY 16 NM AND THE WX WAS CAVU. I WAS LEVEL AT 3200 FT MSL (ABOUT 1000 FT AGL); ABOUT 5 MI S OF AURA VALLEY; WITH XPONDER SET AT 1200 AND HDG AROUND 230 DEGS. THIS HDG WOULD TAKE ME WELL W OF MY DIRECT RTE TO RYAN FIELD. HOWEVER; THIS WOULD GIVE ME A GOOD CLRNC FROM AN 'AEROBATICS BOX' JUST SE OF AURA VALLEY AND WOULD KEEP ME W OF THE SAGUARO NATIONAL MONUMENT. I DECIDED IT WOULD BE EASIER ON SUCH A SHORT FLT TO FLY AROUND THE MONUMENT THAN TO CLB TO THE REQUESTED 2000 FT AGL. SUDDENLY AN F-15 APPEARED A COUPLE HUNDRED FEET ABOVE MY R WING! THE F-15 PASSED ME; DSNDING AND LEVELED OFF AT MY ALT. IT IMMEDIATELY OCCURRED TO ME THAT THESE MIL FLTS ARE ALWAYS IN PAIRS. I WAITED AN ETERNITY (A COUPLE SECONDS ON MY WATCH) LOOKING DESPERATELY FOR THE SECOND F-15 BEFORE SPOTTING IT BELOW ME AND MUCH FARTHER AWAY OFF MY L WING. I DON'T KNOW IF THE F-15 EVER SAW ME OR IF IT PASSED THAT CLOSE ON PURPOSE. MY PLANE DID HAVE ITS STROBE LIGHT ON; BUT IT STILL COULD HAVE BEEN MISSED AMONG THE OTHER CLUTTER ON THE GND. THERE IS NO WAY I COULD HAVE SEEN IT COMING AS THERE IS NO REAR WINDOW ON A C-140. EVEN THOUGH THE F-15'S WERE FOLLOWING MIL TRAINING RTE (VR244-246); I WOULDN'T HAVE EXPECTED AN ENCOUNTER LIKE THIS AT SUCH A LOW ALT; NEAR THE NATIONAL MONUMENT; IN AIRSPACE THAT IS HEAVILY USED FOR CIVILIAN FLT TRAINING; AND SO CLOSE TO AN 'AEROBATICS BOX'. I WON'T MAKE SUCH ASSUMPTIONS IN THE FUTURE.",,,,"NMAC IN PROX OF VFR MIL TRAINING RTE. C-140 VS F-15. NO CONTEST.",
264637,199402,1201-1800,AMN; LAN,MI,,10,,4000,,Mixed,,,Daylight,,,TRACON LAN,Personal,Cessna 150,,1,Part 91,IFR,Personal,,Cruise; Cruise; Other Emergency,Vectors,Class E LAN,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 50; Flight Crew Total 510; Flight Crew Type 150,,,,,264637,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; General Declared Emergency,,Aircraft,"I DEPARTED CAD IN GOOD VFR WX. I WAS FLYING TO THE MOP VOR AND THEN S TO LAN. UPON PASSING TO THE W OF MOP I COULD SEE SNOW SHOWERS IN THE DISTANCE. I HAD RECEIVED A WX BRIEF SO I KNEW THEY EXISTED AND THOUGHT I MAY ARRIVE AT THE SAME TIME. APPROX 10 MI S OF ALMA; MI; I BEGAN TO EXPERIENCE SERIOUS ENG ROUGHNESS. ENOUGH FOR ME TO SEEK RADAR VECTORS TO THE NEAREST ARPT FROM LAN APCH. THEY GAVE ME VECTORS FOR ALMA WHILE I WAS IN MVFR AND WAS ADJUSTING MIXTURE; THROTTLE; AND CARB HEAT IN AN ATTEMPT TO KEEP THE ENG RUNNING. I MANAGED TO REACH 2300 RPM IN THE CE-150 AND ADVISED LAN APCH THAT I COULD MAKE LAN. SO; THEY GAVE ME VECTORS FOR THE LAN ILS RWY 10R FINAL APCH COURSE. AT APPROX 15 MI N OF THE IONIA ARPT; I EXPERIENCED ENG ROUGHNESS AGAIN; SOMEWHAT MORE VIOLENT. I WAS NOW IN IMC WITH SNOW. I ONCE AGAIN ASKED FOR VECTORS TO THE NEAREST ARPT. THEY GAVE ME VECTORS FOR IONIA AND I BEGAN TO HEAD FOR IT. I MANAGED TO ADJUST THE ENG CTLS ENOUGH TO HOLD ALT AND 2000 RPM. I CALLED LAN APCH AGAIN AND TOLD THEM I FELT I COULD MAKE LAN. THEY GAVE ME VECTORS FOR THE LAN ILS RWY 10R APCH; AND I INFORMED THEM THAT WE PROBABLY ONLY HAD 1 CHANCE TO MAKE THE APCH AND I ONLY WOULD BE CAPABLE OF SHOOTING THE LOC APCH. I TOLD THEM THAT I WOULD LIKE TO KEEP THE APCH IN TIGHT AND THAT I WOULD LIKE A RADAR/SURVEILLANCE APCH. THEY SAID THAT WOULD BE NO PROB. THE LAN APCH/TWR STAFF WAS; AS USUAL; GREAT AND COOPERATIVE. I FLEW THE SURVEILLANCE APCH AND SPOTTED THE APCH LIGHTS AND WAS CLRED TO LAND ON 10R AT LAN. I LANDED WITH THE ENG SEEMING TO RUN WELL AT NORMAL PWR AND IDLE. THE TWR NEVER ASKED ME TO CONTACT THEM; BUT I KNOW THE TWR STAFF AND I WENT AND SPOKE WITH THEM. THEY SAID THAT I DID A NICE JOB AND THAT NOTHING WENT WRONG AS FAR AS THE TEXTBOOK IS CONCERNED. I FEEL THAT I HAD A SERIOUS ENCOUNTER WITH CARB ICE; OR MY MAGNETOS OR PLUGS WERE SERIOUSLY MALFUNCTIONING/NOT PERFORMING UP TO STANDARDS. I AM HAVING NEW MAGS PUT ON AND THE SPARK PLUGS AND WIRES INSPECTED. THE EXHAUST AND CARB ARE ALSO BEING COMPLETELY INSPECTED.",,,,"ACFT EQUIP PROB CREATES NEED FOR FLT ASSIST.",
