 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
261326,199401,1201-1800,FTG,CO,,,0,,,VMC,10,,Daylight,,,,FBO,Cessna 152,,1,Part 91,,Training,,Landing; Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Student,Flight Crew Last 90 Days 16; Flight Crew Total 47; Flight Crew Type 15,,,,,261326,,,Other Compensated GA,Instructor,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Flight Engineer; Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 2760; Flight Crew Type 480,,,,,261329,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control; Other Runway Or Taxiway Excursion; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,DURING SECOND STUDENT SOLO LNDG; THE NOSE GEAR SHEARED AND BENT BACK UNDER THE SMA TRAINING ACFT.
261567,199401,1201-1800,NTD,CA,,2,,1700,,VMC,30,,Daylight,,,Tower NTD,Personal,Cessna 150,,1,Part 91,,Personal,,Cruise; Cruise,Direct,Class D NTD,,,,,,,,,,,,,,,,,,,,,,,,Indicating and Warning - Landing Gear,,Y,Malfunctioning,,Military,Intruder (A6),,2,Other Other,VFR,Tactical,,Landing; Other Pattern,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 5; Flight Crew Total 1250; Flight Crew Type 400,,,,,261567,,,Military,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR,Horizontal 1000,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Procedure,Human Factors,POTENTIAL CONFLICT LESSENED BY PLT RESPONSE IN ATA TO MIL PLT'S EXECUTION OF GAR PROC.
261678,199401,1201-1800,BGQ,AK,,1,0,,,VMC,99,,Daylight,,,,FBO,Cessna 150,,1,Part 91,,Training,,Landing; Landing; Initial Approach; Other Emergency,,Class G BGQ,,,,,,,,,,,,,,,,,,,,,,,,Carburetor,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 34; Flight Crew Total 380; Flight Crew Type 190,,,,,261678,,,Other Nonprofessional GA,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,,Human Factors,THE ENG QUIT WHEN A STUDENT PLT TRIED TO GAR AFTER BOTCHING A SIMULATED ENG EMER.
264637,199402,1201-1800,AMN; LAN,MI,,10,,4000,,Mixed,,,Daylight,,,TRACON LAN,Personal,Cessna 150,,1,Part 91,IFR,Personal,,Cruise; Cruise; Other Emergency,Vectors,Class E LAN,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 50; Flight Crew Total 510; Flight Crew Type 150,,,,,264637,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; General Declared Emergency,,Aircraft,ACFT EQUIP PROB CREATES NEED FOR FLT ASSIST.
267032,199403,1201-1800,GAI,MD,,,360,,,VMC,,,Daylight,,,,Personal,Cessna 140,,1,Part 91,,Training,,Cruise; Initial Climb,,Class G GAI,,,,,,,,,,,,,,,,,,,,,,,,Powerplant Fuel System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 200; Flight Crew Total 1150; Flight Crew Type 10,,,,,267032,,,Other Other,Passenger,Other Other,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,General Declared Emergency,,Aircraft,EMER OFF ARPT FORCED LNDG IN C-140.
269150,199404,1201-1800,MLC,OK,,11,,0,,VMC,12,,Daylight,15000,,Center ZKC,Personal,Cessna 150,,1,Part 91,VFR,Ferry / Re-Positioning,,Cruise; Cruise; Other Emergency; Other Divert,,Class E ZKC,,,,,,,,,,,,,,,,,,,,,,,,Magneto/Distributor,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 8; Flight Crew Total 161; Flight Crew Type 161,,,,,269150,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,Air Traffic Control Provided Assistance; General Declared Emergency,,Aircraft,C-152 RUNS OUT OF GAS. EMER; OFF ARPT FORCED LNDG. FACILITY MAINT PROC PROB.
270954,199405,0601-1200,MSO,MT,,4,,1700,,VMC,,,Daylight,,,Tower MSO,Personal,Cessna 140,,1,Part 91,,Personal,,Other Pattern,,Class D MSO,,,,,,,,,,,,,,,,,,,,,,,,Oil Pressure Indication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Total 450,,,,,270954,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,PVT PLT OF AN SMA SEL RETURNED TO LAND AFTER OBSERVING AN OIL PRESSURE FLUCTUATION AND WAS 'RAMP CHKED' BY AN FAA INSPECTOR WHO NOTICED THAT THE ACFT WAS OUT OF ANNUAL INSPECTION.
270982,199405,1201-1800,SLC; PVU,UT,,10,,6500,,VMC,50,,Daylight,,,TRACON SLC,FBO,Cessna 152,,1,Part 91,VFR,Training,,Cruise; Cruise,,Class B SLC,,,,,,,,,,,,,,,,,,,,,,,,Transponder,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 40; Flight Crew Total 100; Flight Crew Type 50,,,,,270982,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Other Airspace Violation Entry or Exit,,,Automation Air Traffic Control; Person Air Traffic Control,,General None Reported / Taken,,Human Factors,PVT PLT OF AN SMA SEL PENETRATED CLASS B AIRSPACE WHEN HE BELIEVED THAT HE HAD RECEIVED A CLRNC.
272474,199405,1201-1800,D22,NY,,5,0,,,VMC,7,,Daylight,,,,FBO,Cessna 150,,1,Part 91,,Training,,Cruise; Other Low Level High Speed; Other Emergency,,Class G D22,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 24; Flight Crew Total 430; Flight Crew Type 125,,,,,272474,,,Other Nonprofessional GA,Single Pilot,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Human Factors,INSTRUCTOR WITH SPI HAS ACTUAL FORCED LNDG WHILE PRACTICING EMER LNDGS.
272880,199405,1201-1800,MKE,WI,,3,,723,,VMC,15,,Daylight,,,TRACON MKE,Personal,Cessna 120,,1,Part 91,IFR,Personal,,Descent; Descent; Landing; Landing,Vectors; Airway MKE,,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Total 390; Flight Crew Type 47,,,,,272880,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General Declared Emergency,,Human Factors,SMA HAS RAPID FUEL LOSS; ENG FAILURE. LANDS IN WATER.
